iter	Passed	Remaining
198	12570	50597
199	12635	50540
200	12696	50470
201	12776	50474
202	12837	50402
203	12896	50321
204	12963	50272
205	13014	50161
206	13065	50052
207	13134	50010
208	13193	49934
209	13248	49840
210	13313	49782
211	13367	49686
212	13431	49627
213	13491	49554
214	13558	49504
215	13617	49425
216	13661	49293
217	13726	49239
218	13788	49174
219	13853	49115
220	13911	49035
221	13969	48956
222	14068	49020
223	14131	48957
224	14196	48899
225	14261	48842
226	14320	48765
227	14384	48704
228	14466	48705
229	14527	48636
230	14580	48539
231	14643	48475
232	14711	48428
233	14781	48387
234	14849	48339
235	14908	48264
236	14976	48216
237	15047	48176
238	15119	48142
239	15163	48018
240	15225	47951
241	15273	47840
242	15318	47720
243	15382	47661
244	15440	47580
245	15502	47514
246	15566	47455
247	15634	47407
248	15689	47321
249	15756	47270
250	15809	47175
251	15862	47084
252	15896	46934
253	15959	46874
254	16016	46793
255	16080	46732
256	16139	46659
257	16204	46603
258	16257	46512
259	16312	46428
260	16382	46385
261	16428	46276
262	16483	46192
263	16546	46129
264	16608	46064
265	16670	46000
266	16717	45893
267	16791	45864
268	16858	45811
269	16908	45714
270	16971	45653
271	17020	45555
272	17073	45465
273	17145	45428
274	17188	45314
275	17241	45227
276	17292	45135
277	17335	45023
278	17403	44974
279	17454	44884
280	17506	44795
281	17572	44742
282	17636	44682
283	17702	44630
284	17759	44553
285	17823	44497
286	17891	44448
287	17931	44331
288	17979	44232
289	18034	44153
290	18101	44102
291	18155	44020
292	18209	43938
293	18288	43917
294	18352	43860
295	18411	43790
296	18459	43693
297	18515	43616
298	18575	43549
299	18636	43484
300	18691	43406
301	18772	43388
302	18837	43332
303	18899	43268
304	18958	43199
305	19021	43139
306	19078	43067
307	19144	43012
308	19205	42947
309	19269	42890
310	19319	42801
311	19392	42763
312	19452	42695
313	19505	42613
314	19555	42524
315	19620	42469
316	19690	42424
317	19747	42352
318	19815	42301
319	19877	42239
320	19927	42152
321	19996	42105
322	20055	42035
323	20111	41960
324	20172	41895
325	20231	41829
326	20296	41772
327	20359	41712
328	20423	41653
329	20484	41590
330	20531	41498
331	20586	41422
332	20648	41358
333	20709	41294
334	20770	41231
335	20826	41157
336	20883	41084
337	20923	40980
338	21032	41010
339	21105	40970
340	21186	40944
341	21248	40880
342	21320	40839
343	21406	40821
344	21450	40723
345	21525	40686
346	21588	40626
347	21653	40569
348	21737	40548
349	21793	40474
350	21860	40419
351	21919	40351
352	21975	40277
353	22061	40259
354	22122	40194
355	22192	40145
356	22298	40161
357	22384	40141
358	22452	40088
359	22539	40069
360	22629	40055
361	22693	39995
362	22759	39938
363	22848	39921
364	22903	39845
365	22973	39795
366	23091	39828
367	23171	39793
368	23230	39724
369	23279	39638
370	23334	39562
371	23389	39485
372	23450	39419
373	23507	39346
374	23587	39312
375	23698	39329
376	23754	39254
377	23833	39217
378	23890	39145
379	23957	39088
380	24025	39033
381	24125	39030
382	24200	38985
383	24264	38924
384	24333	38870
385	24393	38802
386	24471	38762
387	24535	38700
388	24595	38631
389	24654	38562
390	24719	38501
391	24768	38415
392	24860	38397
393	24916	38324
394	24980	38261
395	25039	38191
396	25100	38124
397	25182	38090
398	25255	38041
399	25302	37953
400	25359	37881
401	25445	37852
402	25522	37809
403	25596	37760
404	25677	37723
405	25734	37650
406	25800	37591
407	25861	37523
408	25930	37469
409	26004	37420
410	26060	37347
411	26139	37305
412	26190	37224
413	26245	37149
414	26307	37084
415	26357	37001
416	26411	36925
417	26490	36883
418	26572	36846
419	26645	36796
420	26714	36740
421	26795	36700
422	26879	36665
423	26939	36596
424	27011	36545
425	27095	36509
426	27158	36445
427	27226	36386
428	27281	36311
429	27348	36253
430	27410	36187
431	27469	36117
432	27528	36047
433	27606	36003
434	27702	35980
435	27804	35967
436	27885	35925
437	27984	35907
438	28050	35845
439	28110	35776
440	28163	35699
441	28205	35608
442	28306	35591
443	28365	35520
444	28443	35475
445	28496	35396
446	28565	35339
447	28617	35260
448	28655	35165
449	28722	35104
450	28787	35042
451	28871	35003
452	28941	34947
453	28993	34869
454	29058	34805
455	29114	34733
456	29167	34656
457	29277	34647
458	29360	34605
459	29417	34533
460	29477	34464
461	29541	34401
462	29630	34366
463	29706	34316
464	29785	34268
465	29864	34221
466	29931	34161
467	30025	34131
468	30095	34074
469	30157	34007
470	30222	33943
471	30283	33876
472	30357	33822
473	30425	33763
474	30481	33690
475	30560	33642
476	30627	33581
477	30683	33507
478	30760	33457
479	30817	33385
480	30887	33327
481	30953	33264
482	31010	33193
483	31071	33125
484	31134	33060
485	31196	32993
486	31297	32968
487	31358	32901
488	31405	32818
489	31450	32733
490	31493	32648
491	31554	32581
492	31613	32511
493	31661	32430
494	31697	32337
495	31755	32267
496	31813	32197
497	31849	32104
498	31885	32013
499	31951	31951
500	32005	31877
501	32054	31799
502	32105	31722
503	32156	31645
504	32235	31596
505	32302	31536
506	32399	31504
507	32448	31426
508	32505	31356
509	32568	31291
510	32633	31228
511	32691	31158
512	32756	31096
513	32814	31026
514	32890	30974
515	32946	30903
516	32995	30825
517	33060	30762
518	33113	30689
519	33170	30618
520	33219	30541
521	33274	30470
522	33349	30416
523	33410	30349
524	33485	30296
525	33569	30250
526	33626	30180
527	33686	30113
528	33787	30082
529	33820	29991
530	33855	29902
531	33914	29834
532	33989	29780
533	34048	29712
534	34113	29649
535	34177	29586
536	34234	29516
537	34296	29452
538	34356	29384
539	34424	29324
540	34473	29248
541	34506	29158
542	34584	29107
543	34660	29054
544	34707	28975
545	34759	28902
546	34801	28820
547	34857	28751
548	34893	28665
549	34952	28597
550	35012	28531
551	35047	28444
552	35112	28382
553	35166	28310
554	35219	28239
555	35254	28153
556	35310	28083
557	35380	28025
558	35414	27938
559	35471	27870
560	35527	27801
561	35571	27722
562	35644	27666
563	35707	27603
564	35768	27538
565	35828	27472
566	35889	27407
567	35937	27333
568	36014	27280
569	36089	27225
570	36145	27156
571	36178	27070
572	36220	26991
573	36259	26910
574	36328	26851
575	36385	26784
576	36447	26719
577	36498	26647
578	36561	26584
579	36609	26510
580	36650	26431
581	36687	26349
582	36725	26268
583	36777	26197
584	36829	26126
585	36873	26050
586	36931	25984
587	36975	25907
588	37013	25827
589	37066	25758
590	37117	25686
591	37169	25616
592	37245	25562
593	37301	25495
594	37377	25441
595	37422	25366
596	37478	25299
597	37539	25235
598	37594	25167
599	37644	25096
600	37690	25022
601	37735	24947
602	37788	24878
603	37839	24808
604	37877	24730
605	37913	24650
606	37952	24571
607	37987	24491
608	38019	24410
609	38053	24328
610	38087	24248
611	38146	24184
612	38207	24121
613	38242	24041
614	38290	23970
615	38368	23918
616	38425	23852
617	38505	23801
618	38565	23737
619	38600	23658
620	38658	23593
621	38693	23514
622	38741	23443
623	38786	23371
624	38842	23305
625	38881	23229
626	38950	23171
627	38990	23096
628	39031	23021
629	39078	22950
630	39167	22904
631	39234	22845
632	39307	22789
633	39356	22720
634	39402	22648
635	39457	22582
636	39495	22507
637	39580	22458
638	39626	22386
639	39671	22315
640	39708	22239
641	39764	22174
642	39811	22103
643	39859	22033
644	39912	21967
645	39956	21895
646	40005	21826
647	40059	21760
648	40109	21692
649	40181	21636
650	40227	21566
651	40263	21490
652	40304	21417
653	40338	21341
654	40373	21265
655	40418	21195
656	40462	21124
657	40523	21062
658	40597	21007
659	40647	20939
660	40708	20877
661	40756	20809
662	40827	20752
663	40862	20677
664	40921	20614
665	40956	20539
666	41016	20477
667	41078	20416
668	41145	20357
669	41190	20287
670	41253	20227
671	41306	20161
672	41353	20092
673	41389	20019
674	41466	19965
675	41518	19899
676	41560	19828
677	41618	19765
678	41678	19703
679	41730	19638
680	41772	19567
681	41831	19504
682	41878	19437
683	41957	19383
684	42034	19329
685	42070	19256
686	42105	19183
687	42154	19116
688	42187	19042
689	42232	18974
690	42281	18907
691	42367	18857
692	42441	18801
693	42490	18735
694	42548	18672
695	42582	18599
696	42639	18536
697	42674	18463
698	42747	18407
699	42790	18338
700	42838	18271
701	42875	18200
702	42911	18128
703	42958	18062
704	42991	17989
705	43052	17928
706	43113	17867
707	43148	17795
708	43183	17724
709	43223	17654
710	43270	17588
711	43319	17522
712	43373	17458
713	43408	17387
714	43495	17337
715	43532	17267
716	43596	17207
717	43651	17144
718	43704	17080
719	43749	17013
720	43795	16947
721	43855	16886
722	43894	16816
723	43976	16764
724	44021	16697
725	44067	16631
726	44114	16565
727	44175	16505
728	44210	16435
729	44270	16373
730	44331	16313
731	44407	16258
732	44443	16188
733	44505	16128
734	44568	16069
735	44608	16000
736	44671	15940
737	44731	15880
738	44789	15818
739	44863	15762
740	44908	15696
741	44952	15630
742	45014	15570
743	45072	15508
744	45147	15453
745	45181	15383
746	45238	15321
747	45273	15252
748	45320	15187
749	45370	15123
750	45454	15070
751	45492	15002
752	45561	14945
753	45641	14890
754	45686	14825
755	45742	14763
756	45785	14697
757	45903	14655
758	45949	14590
759	46009	14529
760	46061	14465
761	46110	14401
762	46165	14339
763	46211	14274
764	46266	14212
765	46315	14148
766	46369	14086
767	46449	14031
768	46523	13975
769	46569	13910
770	46627	13849
771	46662	13781
772	46722	13720
773	46769	13656
774	46832	13596
775	46884	13533
776	46925	13467
777	46972	13403
778	47021	13339
779	47076	13278
780	47123	13214
781	47158	13146
782	47206	13082
783	47265	13022
784	47311	12958
785	47370	12897
786	47405	12830
787	47452	12766
788	47587	12726
789	47635	12662
790	47684	12599
791	47740	12537
792	47802	12477
793	47861	12417
794	47926	12358
795	47990	12299
796	48022	12231
797	48056	12164
798	48131	12108
799	48191	12047
800	48223	11980
801	48257	11913
802	48332	11857
803	48383	11794
804	48427	11730
805	48502	11674
806	48535	11607
807	48570	11541
808	48613	11477
809	48649	11411
810	48688	11346
811	48736	11283
812	48772	11218
813	48827	11157
814	48913	11102
815	48948	11037
816	48995	10974
817	49043	10911
818	49088	10848
819	49162	10791
820	49196	10726
821	49255	10666
822	49295	10601
823	49360	10543
824	49399	10478
825	49461	10419
826	49517	10358
827	49564	10296
828	49624	10236
829	49702	10180
830	49762	10120
831	49852	10066
832	49936	10011
833	50011	9954
834	50092	9898
835	50127	9833
836	50196	9775
837	50257	9715
838	50310	9654
839	50365	9593
840	50462	9540
841	50508	9477
842	50565	9417
843	50652	9362
844	50687	9297
845	50753	9238
846	50808	9177
847	50848	9114
848	50900	9052
849	50935	8988
850	50998	8929
851	51046	8867
852	51124	8810
853	51164	8747
854	51211	8684
855	51291	8628
856	51350	8568
857	51406	8507
858	51460	8446
859	51502	8384
860	51581	8327
861	51619	8263
862	51689	8205
863	51743	8144
864	51800	8084
865	51842	8021
866	51909	7963
867	51970	7903
868	52040	7844
869	52098	7784
870	52140	7722
871	52227	7666
872	52278	7605
873	52368	7549
874	52428	7489
875	52479	7428
876	52527	7366
877	52560	7303
878	52631	7245
879	52668	7182
880	52739	7123
881	52788	7062
882	52865	7004
883	52938	6946
884	52990	6885
885	53081	6829
886	53172	6773
887	53249	6716
888	53339	6659
889	53412	6601
890	53485	6543
891	53563	6485
892	53623	6425
893	53680	6364
894	53729	6303
895	53786	6243
896	53861	6184
897	53902	6122
898	53957	6061
899	53997	5999
900	54057	5939
901	54120	5880
902	54182	5820
903	54228	5758
904	54271	5697
905	54343	5638
906	54394	5577
907	54427	5514
908	54482	5454
909	54541	5394
910	54589	5333
911	54628	5271
912	54697	5212
913	54756	5152
914	54815	5092
915	54872	5031
916	54943	4973
917	54991	4912
918	55044	4851
919	55105	4791
920	55142	4729
921	55197	4669
922	55254	4609
923	55322	4550
924	55369	4489
925	55428	4429
926	55490	4369
927	55564	4311
928	55620	4250
929	55727	4194
930	55825	4137
931	55886	4077
932	55923	4015
933	55978	3955
934	56052	3896
935	56118	3837
936	56176	3777
937	56246	3717
938	56307	3657
939	56360	3597
940	56422	3537
941	56476	3477
942	56511	3415
943	56570	3355
944	56603	3294
945	56647	3233
946	56709	3173
947	56768	3113
948	56827	3053
949	56910	2995
950	56958	2934
951	57024	2875
952	57077	2814
953	57133	2754
954	57200	2695
955	57237	2634
956	57286	2574
957	57329	2513
958	57399	2453
959	57463	2394
960	57509	2333
961	57577	2274
962	57645	2214
963	57703	2154
964	57767	2095
965	57824	2035
966	57895	1975
967	57967	1916
968	58017	1856
969	58052	1795
970	58110	1735
971	58169	1675
972	58228	1615
973	58290	1556
974	58325	1495
975	58401	1436
976	58450	1376
977	58496	1315
978	58558	1256
979	58591	1195
980	58658	1136
981	58694	1075
982	58725	1015
983	58782	955
984	58832	895
985	58905	836
986	58939	776
987	59007	716
988	59047	656
989	59080	596
990	59124	536
991	59192	477
992	59231	417
993	59307	357
994	59340	298
995	59400	238
996	59466	178
997	59515	119
998	59545	59
999	59609	0
